pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,step
0.04851,0.0855081,0.482293,0.383689,-8.56803,-6.96999,-1.6852,5.74615,-2.10927,-9.89363,4.78732,-9.04039,0.379533,0.00311002,0.00311002,0.118865,2.15604,-0.212264,-0.212264,0.0238597,0.468404,0.296331,0.296331,1.36283,0.240854,-0.292229,-0.292229,0.12178,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.225165,0.35619,0.161817,0.256828,-3.31062,5.336,-8.90547,-5.05233,9.6602,-2.44414,-1.94773,-2.96842,0.0118845,-0.0598698,-0.0598698,0.000603979,0.260385,0.456363,0.456363,0.0220375,0.00889474,-0.000585316,-0.000585316,0.119686,0.150481,0.134774,0.134774,0.0931461,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.276773,0.288518,0.149545,0.285164,-6.77606,4.5797,-7.99409,7.78418,-9.25364,-0.141617,3.60118,-8.13448,1.63739,0.0217339,0.0217339,0.0865299,0.485489,0.00272846,0.00272846,0.785985,0.000502758,0.0899017,0.0899017,0.135285,0.0638882,-0.213526,-0.213526,0.757849,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.107729,0.463576,0.253035,0.17566,5.21766,-3.8173,-6.68746,-5.38703,-1.94571,-1.74909,3.45754,-3.66029,0.446564,0.435608,0.435608,0.195359,0.932266,-0.0545715,-0.0545715,1.37557,0.0581511,0.0864362,0.0864362,0.998118,0.037259,0.6726,0.6726,0.0250214,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.212677,0.0961857,0.023354,0.667783,-3.61682,-1.88011,6.88213,7.41905,-7.72016,2.30639,3.82862,-5.21804,0.324188,0.00841345,0.00841345,0.0680971,0.00488194,-0.602145,-0.602145,0.710526,0.306846,-0.103659,-0.103659,0.13525,0.510678,-0.504587,-0.504587,0.0213921,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.325642,0.026311,0.249704,0.398342,-4.98998,-7.15287,7.04839,8.08884,-7.57886,2.54709,-1.04374,-2.96356,0.0684156,0.0147759,0.0147759,0.0643647,0.102006,0.0661084,0.0661084,1.30282,0.0035978,0.00385124,0.00385124,0.0651272,0.367309,-0.118381,-0.118381,0.72867,-27193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.066799,0.417856,0.287625,0.22772,5.53705,-5.62297,8.74902,1.93325,6.20249,-0.737752,-2.48979,-4.09612,0.00593702,-0.00105617,-0.00105617,0.0606253,0.0294155,0.0821141,0.0821141,0.549146,0.0592002,0.0640033,0.0640033,0.0122675,0.833636,-0.0356687,-0.0356687,7.95721e-06,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.308308,0.342042,0.286638,0.0630122,8.491,-7.18928,8.54304,-9.09749,-2.66639,-8.62117,6.25315,4.60553,0.344562,-0.0936503,-0.0936503,0.0379869,0.170497,-0.126276,-0.126276,0.0096676,0.355634,0.0693,0.0693,0.00122249,0.316033,-0.212434,-0.212434,0.0414188,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.191354,0.113324,0.303573,0.391749,-8.57904,-7.87262,-6.49575,9.60355,5.18525,3.3228,-3.24334,-8.18899,0.959636,-0.30219,-0.30219,0.00290838,0.1786,-0.00242828,-0.00242828,0.00832163,0.0221853,-0.18291,-0.18291,0.519035,0.0021388,-0.0814545,-0.0814545,0.572371,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0563095,0.132305,0.30814,0.503246,5.20228,-4.9865,-7.82349,9.60129,-4.63223,-5.23106,-9.2449,-6.65689,0.228937,0.118261,0.118261,0.0348998,0.0398273,-0.0439428,-0.0439428,0.374859,0.0819745,-0.0332245,-0.0332245,0.317066,0.584438,-2.01915,-2.01915,0.368153,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.305907,0.0333088,0.197911,0.462873,0.0680934,1.85451,8.55381,-1.29721,5.08186,-5.6448,-2.31257,8.38328,0.0595084,-0.407202,-0.407202,0.551353,0.153025,0.0232397,0.0232397,0.145682,2.12526,-0.00431059,-0.00431059,0.0845808,0.0800765,0.515901,0.515901,0.0767878,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
