"x","u"
-3.14159,-1.90195e-12
-3.07876,0.0209434
-3.01593,0.0418838
-2.9531,0.0628181
-2.89027,0.0837431
-2.82743,0.104656
-2.7646,0.125553
-2.70177,0.146432
-2.63894,0.167288
-2.57611,0.18812
-2.51327,0.208923
-2.45044,0.229694
-2.38761,0.250429
-2.32478,0.271126
-2.26195,0.29178
-2.19911,0.312387
-2.13628,0.332943
-2.07345,0.353445
-2.01062,0.373888
-1.94779,0.394267
-1.88496,0.414579
-1.82212,0.434817
-1.75929,0.454977
-1.69646,0.475054
-1.63363,0.495041
-1.5708,0.514933
-1.50796,0.534724
-1.44513,0.554406
-1.3823,0.573972
-1.31947,0.593415
-1.25664,0.612726
-1.19381,0.631896
-1.13097,0.650915
-1.06814,0.669774
-1.00531,0.68846
-0.942478,0.706961
-0.879646,0.725264
-0.816814,0.743354
-0.753982,0.761214
-0.69115,0.778826
-0.628319,0.796169
-0.565487,0.813221
-0.502655,0.829955
-0.439823,0.846344
-0.376991,0.862352
-0.314159,0.877943
-0.251327,0.893071
-0.188496,0.907683
-0.125664,0.921719
-0.0628319,0.935104
0,0.947747
0.0628319,0.959537
0.125664,0.970331
0.188496,0.979947
0.251327,0.988141
0.314159,0.994577
0.376991,0.998763
0.439823,0.999942
0.502655,0.996816
0.565487,0.986795
0.628319,0.962863
0.69115,0.849535
-0.69115,-0.846775
-0.628319,-0.962861
-0.565487,-0.612096
-0.502655,-0.531531
-0.439823,-0.457505
-0.376991,-0.387401
-0.314159,-0.319882
-0.251327,-0.254146
-0.188496,-0.189651
-0.125664,-0.126
-0.0628319,-0.0628733
0,0
0.0628319,0.0628733
0.125664,0.126
0.188496,0.189651
0.251327,0.254146
0.314159,0.319882
0.376991,0.387401
0.439823,0.457505
0.502655,0.531531
0.565487,0.612096
0.628319,0.962861
0.69115,0.846775
-0.69115,-0.849535
-0.628319,-0.962863
-0.565487,-0.986795
-0.502655,-0.996816
-0.439823,-0.999942
-0.376991,-0.998763
-0.314159,-0.994577
-0.251327,-0.988141
-0.188496,-0.979947
-0.125664,-0.970331
-0.0628319,-0.959537
0,-0.947747
0.0628319,-0.935104
0.125664,-0.921719
0.188496,-0.907683
0.251327,-0.893071
0.314159,-0.877943
0.376991,-0.862352
0.439823,-0.846344
0.502655,-0.829955
0.565487,-0.813221
0.628319,-0.796169
0.69115,-0.778826
0.753982,-0.761214
0.816814,-0.743354
0.879646,-0.725264
0.942478,-0.706961
1.00531,-0.68846
1.06814,-0.669774
1.13097,-0.650915
1.19381,-0.631896
1.25664,-0.612725
1.31947,-0.593415
1.3823,-0.573972
1.44513,-0.554406
1.50796,-0.534724
1.5708,-0.514933
1.63363,-0.495041
1.69646,-0.475054
1.75929,-0.454977
1.82212,-0.434817
1.88496,-0.414579
1.94779,-0.394267
2.01062,-0.373888
2.07345,-0.353445
2.13628,-0.332943
2.19911,-0.312387
2.26195,-0.29178
2.32478,-0.271126
2.38761,-0.250429
2.45044,-0.229694
2.51327,-0.208923
2.57611,-0.18812
2.63894,-0.167288
2.70177,-0.146432
2.7646,-0.125553
2.82743,-0.104656
2.89027,-0.0837431
2.9531,-0.0628181
3.01593,-0.0418838
3.07876,-0.0209434
3.14159,1.90195e-12
