"x","u"
-3.14159,-3.22259e-17
-3.07876,0.0314133
-3.01593,0.0628112
-2.9531,0.0941779
-2.89027,0.125498
-2.82743,0.156755
-2.7646,0.187933
-2.70177,0.219017
-2.63894,0.249987
-2.57611,0.280829
-2.51327,0.311523
-2.45044,0.342051
-2.38761,0.372394
-2.32478,0.402532
-2.26195,0.432444
-2.19911,0.462108
-2.13628,0.491499
-2.07345,0.520594
-2.01062,0.549367
-1.94779,0.577789
-1.88496,0.605829
-1.82212,0.633457
-1.75929,0.660636
-1.69646,0.687328
-1.63363,0.713493
-1.5708,0.739085
-1.50796,0.764054
-1.44513,0.788345
-1.3823,0.811897
-1.31947,0.834642
-1.25664,0.856502
-1.19381,0.877391
-1.13097,0.89721
-1.06814,0.915845
-1.00531,0.933165
-0.942478,0.949016
-0.879646,0.963218
-0.816814,0.975553
-0.753982,0.985762
-0.69115,0.993523
-0.628319,0.998435
-0.565487,0.999986
-0.502655,0.997506
-0.439823,0.990093
-0.376991,0.976477
-0.314159,0.95479
-0.251327,0.922071
-0.188496,0.873167
-0.125664,0.797537
-0.0628319,0.665995
2.77556e-15,0.12781
0.0628319,-0.665995
0.125664,-0.797536
0.188496,-0.873167
0.251327,-0.922071
0.314159,-0.954789
0.376991,-0.976477
0.439823,-0.990093
0.502655,-0.997506
0.565487,-0.999986
0.628319,-0.998435
0.69115,-0.993523
0.753982,-0.985762
0.816814,-0.975553
0.879646,-0.963217
0.942478,-0.949016
1.00531,-0.933165
1.06814,-0.915845
1.13097,-0.89721
1.19381,-0.877391
1.25664,-0.856502
1.31947,-0.834642
1.3823,-0.811897
1.44513,-0.788345
1.50796,-0.764054
1.5708,-0.739085
1.63363,-0.713493
1.69646,-0.687328
1.75929,-0.660636
1.82212,-0.633457
1.88496,-0.605829
1.94779,-0.577789
2.01062,-0.549367
2.07345,-0.520594
2.13628,-0.491499
2.19911,-0.462108
2.26195,-0.432444
2.32478,-0.402532
2.38761,-0.372394
2.45044,-0.342051
2.51327,-0.311523
2.57611,-0.280829
2.63894,-0.249987
2.70177,-0.219017
2.7646,-0.187933
2.82743,-0.156755
2.89027,-0.125498
2.9531,-0.0941779
3.01593,-0.0628112
3.07876,-0.0314133
3.14159,2.60818e-15
