pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,step
0.188126,0.247556,0.252243,0.312075,5.53706,4.6353,7.69205,-7.1441,-1.72147,-7.64259,-7.72425,-7.2725,10.6256,-9.91599,-9.91599,231.789,122.918,124.342,124.342,152.211,470.582,77.5861,77.5861,24.1018,47.9022,-111.156,-111.156,270.46,-8392.03,0.581342,0.316214,0.0969382,0.00550571,0.558128,2.07218,1.96585,-1.71123,-1.94567,-1.71276,-4.33921,-2.7953,4.51678,-0.0475666,-0.0475666,0.865892,0.913891,0.0960688,0.0960688,1.48841,0.904967,-0.0367285,-0.0367285,1.18914,0.150555,-0.052957,-0.052957,0.0638511,-4090.53,126
0.169734,0.308923,0.192269,0.329074,-8.84577,5.85789,4.6307,-0.871937,-9.13006,-4.47248,5.50647,4.48485,23.9883,40.2164,40.2164,67.4483,23.6911,78.7888,78.7888,339.167,115.946,35.1746,35.1746,140.053,244.581,198.969,198.969,181.167,-6828.79,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.158904,0.387608,0.239322,0.214166,-4.3763,7.58538,-7.71585,3.4748,2.22472,-0.0249552,-6.93835,5.24366,43.4402,-17.2678,-17.2678,899.838,90.8428,254.475,254.475,935.427,25.7375,29.3716,29.3716,55.2049,628.049,175.546,175.546,54.0333,-6652.05,0.10022,0.216931,0.29284,0.390009,-2.03151,-1.79711,-1.90083,2.05607,1.96754,-1.89402,1.98295,1.97645,1.28448,0.207977,0.207977,1.04946,1.19291,-0.222701,-0.222701,0.891822,0.962458,0.122668,0.122668,1.16928,0.879804,0.0859603,0.0859603,0.983209,-3987.94,165
0.151285,0.261292,0.308617,0.278807,-8.24937,7.57428,-0.914964,-3.49086,-6.40078,-7.98174,-0.781485,-5.48941,351.554,252.445,252.445,197.822,198.036,-138.996,-138.996,141.52,395.781,27.6138,27.6138,37.3874,440.238,102.912,102.912,27.1841,-7540.82,0.216931,0.390009,0.10022,0.29284,-1.90083,2.05607,1.98295,1.97645,-2.03151,-1.79711,1.96754,-1.89402,1.19291,-0.222701,-0.222701,0.891823,0.879804,0.0859603,0.0859603,0.983208,1.28447,0.207977,0.207977,1.04946,0.962458,0.122668,0.122668,1.16928,-3987.94,101
0.473664,0.257358,0.247656,0.0213223,-6.36918,-3.0772,-4.9022,5.81421,1.96424,3.02674,7.75543,3.00732,46.1857,-88.7536,-88.7536,414.704,249.499,-335.085,-335.085,1114.65,433.135,-121.151,-121.151,66.5943,416.851,184.606,184.606,82.5786,-7353.6,0.216931,0.10022,0.29284,0.390009,-1.90083,2.05607,-2.03151,-1.79711,1.96754,-1.89402,1.98295,1.97645,1.19291,-0.222702,-0.222702,0.891825,1.28448,0.207976,0.207976,1.04945,0.962457,0.122667,0.122667,1.16928,0.879804,0.0859602,0.0859602,0.98321,-3987.94,142
0.123062,0.125563,0.520672,0.230704,6.82235,5.6365,-3.97683,-3.95836,-9.74545,7.07326,-4.45464,-1.31693,35.8223,-7.61641,-7.61641,161.639,287.906,428.256,428.256,641.977,200.691,-88.9898,-88.9898,199.874,56.4702,25.7196,25.7196,84.6692,-6847.64,0.29284,0.390009,0.216931,0.10022,1.96754,-1.89402,1.98295,1.97645,-1.90083,2.05607,-2.03151,-1.79711,0.962458,0.122668,0.122668,1.16928,0.879804,0.0859603,0.0859603,0.983208,1.19291,-0.222701,-0.222701,0.891822,1.28448,0.207977,0.207977,1.04946,-3987.94,119
0.124862,0.0569394,0.613244,0.204955,-5.4752,4.77016,-5.64549,-0.0592361,-1.03132,-2.69575,-7.92513,-2.16209,27.2534,25.189,25.189,119.545,586.511,-57.3909,-57.3909,10.8272,192.085,52.0191,52.0191,16.0917,192.696,27.1736,27.1736,276.452,-6819.67,0.216931,0.10022,0.29284,0.390009,-1.90083,2.05607,-2.03151,-1.79711,1.96754,-1.89402,1.98295,1.97645,1.19291,-0.222701,-0.222701,0.891822,1.28448,0.207977,0.207977,1.04946,0.962458,0.122668,0.122668,1.16928,0.879804,0.0859603,0.0859603,0.983208,-3987.94,118
0.381681,0.0574166,0.403912,0.15699,9.67982,4.40017,-6.09649,5.1389,2.5277,-3.82916,2.24859,-8.34332,263.715,157.11,157.11,99.9287,10.6519,-8.97467,-8.97467,400.141,41.9878,33.2571,33.2571,198.988,7.80741,81.7164,81.7164,856.867,-6490.4,0.648077,0.224523,0.107822,0.0195783,1.97879,0.328914,-1.81634,2.06949,-1.88796,-1.8724,3.1952,0.315869,0.841163,0.0791836,0.0791836,4.67943,1.34242,-0.200028,-0.200028,0.849138,1.54545,0.0184645,0.0184645,1.07701,0.0699894,0.517811,0.517811,4.50513,-4082.47,177
0.562296,0.176421,0.0729337,0.188349,8.92966,-6.50013,-8.1779,1.40275,-7.56601,-0.846009,1.03617,-0.506742,233.987,-140.413,-140.413,296.121,291.124,134.179,134.179,63.9284,436.911,38.8947,38.8947,4.46176,281.582,-168.02,-168.02,346.56,-7312.15,0.390008,0.216931,0.10022,0.29284,1.98295,1.97645,-1.90083,2.05607,-2.03152,-1.79711,1.96754,-1.89402,0.879803,0.0859598,0.0859598,0.983206,1.19291,-0.222703,-0.222703,0.891827,1.28447,0.207976,0.207976,1.04945,0.96246,0.122668,0.122668,1.16928,-3987.94,117
0.206806,0.411976,0.268146,0.113072,-3.07365,8.03284,-0.169606,3.8493,0.313889,-3.29473,-7.84827,9.38346,87.2452,129.306,129.306,193.088,136.985,132.58,132.58,137.899,22.7231,19.3024,19.3024,95.2265,11.8007,-1.94515,-1.94515,10.6201,-6482.46,0.00255805,0.10651,0.671267,0.219665,-4.818,3.1203,-1.89948,-1.88169,2.00656,0.332205,-1.81506,2.05561,0.124299,0.173501,0.173501,0.257571,1.53118,0.0269685,0.0269685,1.0546,0.870139,0.0872011,0.0872011,4.66947,1.18155,-0.157834,-0.157834,0.853601,-4082.59,186
