pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,step
0.405482,0.290414,0.266576,0.0375284,-2.61668,7.75276,4.5771,-8.27242,-8.65897,4.16585,5.33087,-4.04672,3553.25,-4708.36,-4708.36,19494.4,3825.2,1015.11,1015.11,9023.2,2298.22,5999.44,5999.44,17127.3,3246.36,-2479.86,-2479.86,2345.4,-10144.2,0.216931,0.390009,0.10022,0.29284,-1.90083,2.05607,1.98295,1.97645,-2.03151,-1.79711,1.96754,-1.89402,1.19291,-0.222701,-0.222701,0.891823,0.879804,0.0859602,0.0859602,0.983208,1.28447,0.207977,0.207977,1.04946,0.962458,0.122668,0.122668,1.16928,-3987.94,934
0.249119,0.0138816,0.204205,0.532795,-5.82119,9.68828,-8.76126,2.84301,9.28162,-2.53657,-8.32444,-2.90001,1034.58,-613.483,-613.483,2106.97,7569.1,-5164.64,-5164.64,3636.87,2096.7,-276.199,-276.199,2224.26,4019.98,-4233.92,-4233.92,11562.2,-9702.89,0.216931,0.10022,0.390009,0.29284,-1.90083,2.05607,-2.03151,-1.79711,1.98295,1.97645,1.96754,-1.89402,1.19291,-0.222701,-0.222701,0.891822,1.28448,0.207977,0.207977,1.04946,0.879805,0.0859603,0.0859603,0.983209,0.962458,0.122668,0.122668,1.16928,-3987.94,154
0.25017,0.171975,0.561208,0.0166472,7.65385,-8.53804,-3.43016,8.62844,0.78081,4.77968,4.12681,3.48668,1486.6,2087.71,2087.71,2996.26,781.921,-80.2209,-80.2209,1138.02,8804.33,1397.28,1397.28,6333.48,205.682,523.491,523.491,4295.9,-9815.48,0.390009,0.216931,0.10022,0.29284,1.98295,1.97645,-1.90083,2.05607,-2.03151,-1.79711,1.96754,-1.89402,0.879805,0.0859603,0.0859603,0.983209,1.19291,-0.222701,-0.222701,0.891822,1.28448,0.207977,0.207977,1.04946,0.962458,0.122668,0.122668,1.16928,-3987.94,124
0.215302,0.390479,0.0804045,0.313814,-5.68616,9.07158,5.46615,1.06099,3.58915,7.87638,-8.63186,5.47532,4212.25,537.736,537.736,1769.09,3118.58,2251.24,2251.24,2254.84,3041.39,3247.63,3247.63,4124.8,6558.28,3114.72,3114.72,4745.02,-9492.5,0.390009,0.29284,0.216931,0.10022,1.98295,1.97645,1.96754,-1.89402,-1.90083,2.05607,-2.03151,-1.79711,0.879804,0.0859603,0.0859603,0.983209,0.962458,0.122668,0.122668,1.16928,1.19291,-0.222701,-0.222701,0.891822,1.28448,0.207977,0.207977,1.04946,-3987.94,288
0.383784,0.00619777,0.0572744,0.552744,-0.574171,7.82717,-5.08584,1.84949,-7.62434,-2.15877,6.32443,7.11324,741.358,-721.671,-721.671,2691.42,4458.43,-1450.6,-1450.6,12212.5,4450.99,-4832.16,-4832.16,17655.6,7404.18,-155.334,-155.334,2191.13,-9532.8,0.390009,0.29284,0.10022,0.216931,1.98295,1.97645,1.96754,-1.89402,-2.03151,-1.79711,-1.90083,2.05607,0.879805,0.0859603,0.0859603,0.983209,0.962458,0.122668,0.122668,1.16928,1.28448,0.207977,0.207977,1.04946,1.19291,-0.222701,-0.222701,0.891822,-3987.94,177
0.335086,0.0812623,0.280265,0.303386,-5.34605,-9.9082,4.46146,1.60155,-1.80809,0.340051,3.94398,3.85138,16988.4,3249.27,3249.27,5363.51,1918.8,-500.013,-500.013,1788.46,17286.8,6594.21,6594.21,5839.85,2534.06,2919.01,2919.01,4103.38,-9829.82,0.10022,0.390009,0.216931,0.29284,-2.03151,-1.79711,1.98295,1.97645,-1.90083,2.05607,1.96754,-1.89402,1.28448,0.207977,0.207977,1.04946,0.879804,0.0859602,0.0859602,0.983208,1.19291,-0.222701,-0.222701,0.891822,0.962458,0.122668,0.122668,1.16928,-3987.94,188
0.31849,0.145204,0.334668,0.201638,-2.3144,-7.74603,0.103068,5.71631,3.31648,7.1278,-5.38845,2.05173,4355.04,1466.3,1466.3,558.74,3202.91,-627.411,-627.411,354.878,1941.47,-3180.88,-3180.88,6228.63,10463.2,-586.463,-586.463,9106.43,-8977.85,0.29284,0.390008,0.216931,0.10022,1.96754,-1.89402,1.98295,1.97645,-1.90083,2.05607,-2.03152,-1.79711,0.96246,0.122668,0.122668,1.16928,0.879803,0.0859599,0.0859599,0.983207,1.19291,-0.222703,-0.222703,0.891827,1.28447,0.207976,0.207976,1.04945,-3987.94,156
0.418661,0.0287528,0.509086,0.0435008,-0.704484,2.61429,8.76994,-5.69432,2.6875,2.81923,-4.59722,-6.18549,9072.03,-3711.16,-3711.16,4909.12,3741.1,3362.09,3362.09,5158.09,7790.16,1239.28,1239.28,952.429,5196.71,2793.55,2793.55,13887.7,-9953.11,0.29284,0.390009,0.216931,0.10022,1.96754,-1.89402,1.98295,1.97645,-1.90083,2.05607,-2.03151,-1.79711,0.962458,0.122668,0.122668,1.16928,0.879805,0.0859604,0.0859604,0.983209,1.19291,-0.222701,-0.222701,0.891822,1.28448,0.207977,0.207977,1.04946,-3987.94,145
0.358341,0.218706,0.153703,0.269249,6.16232,-1.92746,0.501218,-0.16564,-6.19959,8.56991,-9.4901,9.30408,17773.9,-3391.29,-3391.29,875.371,8785.9,-1806.62,-1806.62,2622.05,11171.5,8046.89,8046.89,5841.78,3160.43,530.655,530.655,985.358,-9636.15,0.29284,0.390009,0.216931,0.10022,1.96754,-1.89402,1.98295,1.97645,-1.90083,2.05607,-2.03151,-1.79711,0.962458,0.122668,0.122668,1.16928,0.879804,0.0859603,0.0859603,0.983209,1.19291,-0.222701,-0.222701,0.891822,1.28448,0.207977,0.207977,1.04946,-3987.94,170
0.040862,0.54341,0.316856,0.0988727,0.992534,9.21827,-4.67531,4.57726,-4.30573,-3.79257,4.91425,-3.98988,7790.75,1956.39,1956.39,3480.16,15655.9,2875.71,2875.71,710.909,1280.57,938.616,938.616,2509.82,2187.63,-2109.63,-2109.63,2053,-8841.46,0.29284,0.216931,0.10022,0.390008,1.96754,-1.89402,-1.90083,2.05607,-2.03152,-1.79711,1.98295,1.97645,0.96246,0.122668,0.122668,1.16928,1.19291,-0.222703,-0.222703,0.891827,1.28447,0.207976,0.207976,1.04945,0.879802,0.0859597,0.0859597,0.983206,-3987.94,136
