pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,step
0.368841,0.0681341,0.0393204,0.523705,-9.84205,-1.6294,2.89901,-7.40575,9.3601,-1.59989,-4.05483,0.651371,5.23734,0.561298,0.561298,3.96072,22.4396,-4.08589,-4.08589,34.8278,3.05639,-1.80291,-1.80291,2.0815,35.0821,-8.89708,-8.89708,3.61153,-6547.63,0.10022,0.29284,0.390009,0.216931,-2.03152,-1.79711,1.96754,-1.89402,1.98295,1.97645,-1.90083,2.05607,1.28447,0.207976,0.207976,1.04945,0.96246,0.122668,0.122668,1.16928,0.879803,0.0859599,0.0859599,0.983207,1.19291,-0.222703,-0.222703,0.891827,-3987.94,104
0.287752,0.220674,0.0689312,0.422642,9.44482,8.6314,7.94484,-5.87566,-3.06293,-9.17009,-9.58284,5.97605,14.1124,-0.467272,-0.467272,0.164819,13.1895,1.76202,1.76202,5.48822,7.10339,-5.34924,-5.34924,4.62883,27.6821,-10.8298,-10.8298,7.5189,-7652.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.300528,0.182911,0.11248,0.404082,6.60561,-8.76483,-0.809866,0.627171,-7.66858,4.59785,2.13077,3.40438,2.98675,-1.43221,-1.43221,3.80327,11.17,-7.9604,-7.9604,5.70043,4.51761,-4.95885,-4.95885,6.32218,0.227232,0.79655,0.79655,4.71407,-8564.78,0.29284,0.216931,0.10022,0.390009,1.96754,-1.89402,-1.90083,2.05607,-2.03151,-1.79711,1.98295,1.97645,0.962458,0.122668,0.122668,1.16928,1.19291,-0.222701,-0.222701,0.891822,1.28447,0.207977,0.207977,1.04946,0.879804,0.0859603,0.0859603,0.983208,-3987.94,109
0.375742,0.138783,0.198649,0.286826,4.16302,-5.78852,-6.6339,-0.0258302,-9.76692,-0.685012,-1.30281,3.84705,26.0405,30.2591,30.2591,35.2644,21.0961,2.00485,2.00485,13.0045,4.47737,1.95671,1.95671,1.05989,5.39976,-1.25366,-1.25366,0.399521,-7524.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.27095,0.26043,0.231172,0.237449,4.92512,-7.06721,2.44184,6.9143,-8.31169,1.51382,1.83025,-0.713058,1.334,-1.74094,-1.74094,2.72843,1.40099,1.11029,1.11029,1.90853,4.53645,-4.98852,-4.98852,17.9901,3.46802,-8.10978,-8.10978,23.2428,-7083.63,0.29284,0.216931,0.10022,0.390009,1.96754,-1.89402,-1.90083,2.05607,-2.03151,-1.79711,1.98295,1.97645,0.962458,0.122668,0.122668,1.16928,1.19291,-0.222701,-0.222701,0.891823,1.28447,0.207977,0.207977,1.04946,0.879804,0.0859602,0.0859602,0.983208,-3987.94,116
0.340158,0.467499,0.0938448,0.0984976,4.4205,1.48218,6.38954,6.78756,-5.31457,-1.57054,-4.80137,-4.81247,2.9099,3.56047,3.56047,10.8073,13.7476,-3.44913,-3.44913,10.6265,1.02217,2.79188,2.79188,7.62728,16.5227,12.3205,12.3205,9.9996,-6816.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.282181,0.205339,0.252445,0.260035,7.33139,8.08731,-6.1039,-0.857611,6.21216,-8.50378,1.0912,-7.5887,6.42548,0.731705,0.731705,11.9649,3.37206,0.0123811,0.0123811,0.672384,2.31018,0.550724,0.550724,6.47966,1.66625,-4.66435,-4.66435,19.9785,-8147.51,0.390009,0.10022,0.29284,0.216931,1.98295,1.97645,-2.03152,-1.79711,1.96754,-1.89402,-1.90083,2.05607,0.879803,0.0859599,0.0859599,0.983207,1.28447,0.207976,0.207976,1.04945,0.962459,0.122668,0.122668,1.16928,1.19291,-0.222703,-0.222703,0.891827,-3987.94,92
0.423059,0.289246,0.199739,0.0879555,6.33,2.57763,7.37303,-7.56823,9.25822,1.9205,8.09214,2.15179,3.36483,-2.24746,-2.24746,2.70215,3.24773,1.00111,1.00111,4.51056,8.52018,-0.771026,-0.771026,0.646676,17.6329,-6.1841,-6.1841,9.64603,-9502.88,0.216931,0.29284,0.390009,0.10022,-1.90083,2.05607,1.96754,-1.89402,1.98295,1.97645,-2.03151,-1.79711,1.19291,-0.222701,-0.222701,0.891822,0.962458,0.122668,0.122668,1.16928,0.879804,0.0859603,0.0859603,0.983208,1.28447,0.207977,0.207977,1.04946,-3987.94,187
0.105046,0.64983,0.0417618,0.203363,-9.84449,9.88659,9.74027,-8.82336,1.69444,8.96392,4.89501,-4.38745,3.14807,-1.41555,-1.41555,4.51984,6.56278,-2.77092,-2.77092,1.21469,0.437337,-1.58296,-1.58296,5.97739,1.96534,0.392975,0.392975,10.6692,-11236.9,0.216931,0.10022,0.390008,0.29284,-1.90083,2.05607,-2.03152,-1.79711,1.98295,1.97645,1.96754,-1.89402,1.19291,-0.222703,-0.222703,0.891827,1.28447,0.207976,0.207976,1.04945,0.879803,0.0859598,0.0859598,0.983207,0.96246,0.122668,0.122668,1.16928,-3987.94,129
0.243184,0.129815,0.300457,0.326544,5.21757,-2.91667,1.07868,-1.3967,-2.64273,-5.35354,-9.04326,-5.81589,6.10741,-4.71007,-4.71007,12.0853,3.51707,-0.393605,-0.393605,6.4768,16.795,4.49337,4.49337,2.24508,14.0776,-5.38181,-5.38181,20.5816,-6024.2,0.29284,0.390009,0.10022,0.216931,1.96754,-1.89402,1.98295,1.97645,-2.03151,-1.79711,-1.90083,2.05607,0.962458,0.122668,0.122668,1.16928,0.879804,0.0859603,0.0859603,0.983208,1.28448,0.207977,0.207977,1.04946,1.19291,-0.222701,-0.222701,0.891822,-3987.94,169
