pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,step
0.253548,0.128481,0.399229,0.218742,-6.51803,3.59055,9.76152,-8.54268,-8.06104,-3.66387,2.48942,6.15302,0.201749,-0.169521,-0.169521,0.233766,0.0422236,-0.133851,-0.133851,0.478483,1.43225,-0.212033,-0.212033,0.181698,0.480579,-0.697181,-0.697181,1.02277,-123724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.184297,0.194868,0.169683,0.451152,-5.97025,-6.99103,0.386853,-5.00341,8.28584,2.71913,-9.54205,6.12873,0.0552564,-0.0459586,-0.0459586,0.0706149,0.631047,0.496607,0.496607,0.392874,1.01941,0.380712,0.380712,0.775148,0.0656354,-0.0588606,-0.0588606,0.267081,-37755.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.100753,0.20941,0.317494,0.372343,2.59097,3.65854,-5.83925,-5.49585,5.52593,-9.29843,5.67283,2.29855,0.480519,-0.681755,-0.681755,0.973525,0.0524635,-0.0476551,-0.0476551,0.13765,0.507576,-0.656775,-0.656775,0.873239,0.383573,-0.00865804,-0.00865804,0.175992,-54014.7,0.390008,0.10022,0.216931,0.29284,1.98295,1.97645,-2.03152,-1.79711,-1.90083,2.05607,1.96754,-1.89402,0.879803,0.0859598,0.0859598,0.983207,1.28447,0.207976,0.207976,1.04945,1.19291,-0.222703,-0.222703,0.891827,0.96246,0.122668,0.122668,1.16928,-3987.94,114
0.296865,0.236924,0.312055,0.154156,7.63346,-5.49419,-9.87957,-5.53867,3.34507,7.07322,-3.39374,-6.2485,0.0351978,0.10579,0.10579,0.321879,0.966871,0.842508,0.842508,1.0959,0.634693,0.552284,0.552284,1.30411,0.459696,0.328254,0.328254,0.539375,-23763.3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.455992,0.171136,0.0442195,0.328652,-9.18743,-6.33182,-9.56501,-8.06629,-1.4151,7.11563,-2.04459,0.385647,0.681717,0.358559,0.358559,0.434429,0.0628793,0.153147,0.153147,0.581016,0.915191,0.0814901,0.0814901,0.589526,1.09788,0.0430719,0.0430719,0.149313,-21425.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.394613,0.308355,0.191184,0.105848,5.24414,-5.18207,7.72113,1.53102,6.02485,-6.43712,5.00724,9.29562,0.0722939,-0.249339,-0.249339,1.63491,0.373956,-0.128375,-0.128375,0.140312,0.402053,0.0312681,0.0312681,0.0629431,0.546923,0.554136,0.554136,0.765171,-67623.1,0.216931,0.390009,0.29284,0.10022,-1.90083,2.05607,1.98295,1.97645,1.96754,-1.89402,-2.03151,-1.79711,1.19291,-0.222701,-0.222701,0.891822,0.879804,0.0859603,0.0859603,0.983208,0.962458,0.122668,0.122668,1.16928,1.28448,0.207977,0.207977,1.04946,-3987.94,735
0.235307,0.550165,0.110702,0.103827,9.21776,6.39092,-3.42537,-9.24439,1.82728,-4.3765,-0.649682,-6.34386,0.238611,-0.121665,-0.121665,1.05886,0.0357378,-0.0160126,-0.0160126,0.206195,0.146575,-0.0833202,-0.0833202,0.0605859,0.340055,-0.101733,-0.101733,0.382712,-86379.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0529621,0.53599,0.0187326,0.392315,-3.10495,-4.56254,-4.0024,0.451707,9.2715,-9.80371,3.64488,6.70122,0.268587,-0.0111493,-0.0111493,0.0193057,0.266906,-0.611427,-0.611427,1.42044,0.83725,-0.176511,-0.176511,0.836582,0.123058,-0.222834,-0.222834,0.568132,-93324.4,0.10022,0.216931,0.29284,0.390008,-2.03152,-1.79711,-1.90083,2.05607,1.96754,-1.89402,1.98295,1.97645,1.28447,0.207976,0.207976,1.04945,1.19291,-0.222703,-0.222703,0.891827,0.96246,0.122668,0.122668,1.16928,0.879803,0.0859599,0.0859599,0.983207,-3987.94,100
0.0776486,0.162087,0.608347,0.151917,-7.94273,-4.73058,-8.76782,3.1873,-4.03617,-6.08349,-1.75807,-6.39259,0.0922397,0.238085,0.238085,1.16187,0.348129,0.236049,0.236049,0.187625,0.127899,0.0911981,0.0911981,0.0662957,0.36357,0.20585,0.20585,0.671529,-49807.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.311566,0.081938,0.321522,0.284975,-3.27648,3.63189,5.96189,4.37429,-7.3982,-5.64516,-7.31427,-9.46762,0.314779,-0.101782,-0.101782,0.510253,0.412598,0.00316589,0.00316589,0.107675,0.0658162,0.0281991,0.0281991,0.326537,1.61705,0.465547,0.465547,0.141812,-38757.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
