KL_01,KL_02,KL_03,KL_12,KL_13,KL_23,KLmean,KLmax,logL,logL.1,step
38.10537900036996,78.73714561519145,78.9632766178348,195.7528099056736,9.852840359711031,184.3962086930135,97.63461003196572,195.7528099056736,-14831.6,,
441.93792637484967,599.9892053218946,1198.6218997464073,34.11819641643729,34.15191892894445,165.7440566574786,412.42720057433536,1198.6218997464073,-15616.7,,
176.97683206465754,111.30811843602349,628.2285065783938,181.0884695486488,926.9643913113504,142.6366168291306,361.2004891280341,926.9643913113504,-24561.0,,
116.83400578024582,45.41435631394779,250.96198409278088,40.49008658502927,402.9259821565094,80.85763668001557,156.24734193475481,402.9259821565094,-8830.22,,
15.404850817486732,50.95739970513047,627.5554162285406,47.5667907559084,1949.1818742801981,670.3917124732695,560.176340710089,1949.1818742801981,-126606.0,,
1591.4525622313924,2385.28861642771,3400.518695437137,4.129044329516999,41.007204024579366,78.29424176517274,1250.115060702585,3400.518695437137,-22234.4,,
321.38056072008226,144.1366438643318,316.54674267697436,102.77147601368175,33.693397862663126,51.35804022414314,161.6478102269794,321.38056072008226,-26774.5,-3987.94,125.0
26.013083953438002,15.099371175514722,155.50972598888558,51.648446777153474,135.3503025448083,32.139320088638925,69.29337508807316,155.50972598888558,-13651.2,,
17.71720185942864,2550.8336238056872,264.8496936790279,697.0356007555055,298.52031414129243,2449.749432306235,1046.450977757863,2550.8336238056872,-30241.8,,
679.6290027427154,38.7838413045744,185.1407497240857,359.606980996105,2591.7042908446806,274.5742278252867,688.2398489062413,2591.7042908446806,-20984.8,,
19832.788364841443,2469.5687090831493,9588.90515350364,1160.8148983164388,34094.43889137764,69597.91057483315,22790.737765325914,69597.91057483315,-173861.0,,1.0
20.75869108531362,31.798194049895102,536.1404215414365,52.00018899024099,424.477190398277,1142.7112765995994,367.98099377746047,1142.7112765995994,-10112.4,,
3.597440962034672,5.74958495846363,169.35958230187651,12.873199812983156,156.1960273457209,236.0084932375265,97.2973881031009,236.0084932375265,-14146.7,,
18.17680339620373,318.57176098924833,100.32580561952415,771.182421232906,198.86083180608577,2516.030862427608,653.8580809119294,2516.030862427608,-27677.6,,
15814.036280220655,508121.17473258043,6760.25202540377,12009.519744815294,6.834079254957949,14329.282078535221,92840.18315680172,508121.17473258043,-26147.1,,
778.3189227321582,553.8098108137303,274.33110469099756,329.80034821182124,30.65751490900945,121.91283442323545,348.1384226301587,778.3189227321582,-21258.4,,
73.15552192090766,7.210049667617733,12.410616520796278,39.18052414423135,31.81775447907131,5.300960566683767,28.17923788321802,73.15552192090766,-25954.2,,
1712.1432683329806,27.64661816742713,5.34362899016046,286.9279579083968,2372.8359159062593,29.17573572457761,739.0121875049671,2372.8359159062593,-5379.99,-4045.15,75.0
85.58101834766134,264.1430439759283,74.62829122111688,7.443012731359678,14.229077712238077,95.70991111027533,90.2890591830966,264.1430439759283,-9748.79,,
151.53691927755594,809.4795145007753,187.06502228311155,27.08862703850645,326.2654097769658,1072.216994175204,428.94208117535317,1072.216994175204,-7974.86,,
89.41146863444527,170.9620862077842,2007.2051268580033,1061.3107685402517,788.2483708565072,1068.5971393453979,864.2891600737315,2007.2051268580033,-92698.2,-3987.94,90.0
