pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,step
0.190485,0.342663,0.221595,0.245256,4.77828,0.581026,5.26273,8.69676,2.37864,-7.76695,8.13165,7.11753,0.252202,-0.598275,-0.598275,2.7008,6.17243,2.41709,2.41709,3.57542,0.774373,1.09642,1.09642,1.79225,1.0327,0.342596,0.342596,0.475266,-14831.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.51274,0.121911,0.11911,0.246238,8.2956,-8.31709,3.05797,0.0681224,9.79748,0.064484,4.2335,0.784852,0.100672,-0.0236121,-0.0236121,0.0431064,2.24503,-1.55535,-1.55535,1.35635,2.11682,-0.568559,-0.568559,0.392099,2.6793,2.46837,2.46837,2.33438,-15616.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.209145,0.173068,0.362125,0.255662,-2.93265,-7.91312,8.90517,-2.80181,-7.09497,4.68475,-2.0464,9.74802,4.15885,-3.42362,-3.42362,3.38552,1.4061,-0.529073,-0.529073,0.701997,1.62703,-1.72644,-1.72644,2.07163,0.508438,0.458362,0.458362,0.569054,-24561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.236793,0.36492,0.153244,0.245043,4.98287,-1.54759,8.44388,5.3996,3.86579,1.50841,-6.42932,-6.6083,0.300147,0.273231,0.273231,0.403604,2.08021,-0.323873,-0.323873,0.233343,3.37051,-1.70915,-1.70915,3.37698,0.797182,0.90786,0.90786,1.3182,-8830.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.248722,0.198747,0.293379,0.259151,4.52303,-7.53553,6.33017,-8.19074,8.99452,-8.36397,5.58323,6.84876,2.06329,0.533194,0.533194,0.364325,0.554613,0.189618,0.189618,0.103281,2.3061,3.56043,3.56043,5.91588,2.69386,-0.576807,-0.576807,0.254978,-126606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.28444,0.35566,0.000194903,0.359704,-7.80396,8.5816,3.12964,-5.42345,5.5611,-7.67642,5.93268,-1.76663,0.0873892,0.782401,0.782401,9.67611,4.23085,-2.45252,-2.45252,2.16105,0.868683,-0.547272,-0.547272,0.557002,0.294195,0.475637,0.475637,1.02676,-22234.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.408583,0.387218,0.136243,0.0679563,0.546506,-6.38556,-3.98248,8.14357,4.64095,-0.372998,3.59064,7.14134,1.65875,-0.285448,-0.285448,0.270088,1.35153,0.646143,0.646143,1.01044,0.693946,-0.813848,-0.813848,1.3097,1.01556,-0.31157,-0.31157,0.681989,-26774.5,0.10022,0.216931,0.29284,0.390009,-2.03151,-1.79711,-1.90083,2.05607,1.96754,-1.89402,1.98295,1.97645,1.28448,0.207977,0.207977,1.04946,1.19291,-0.222701,-0.222701,0.891822,0.962458,0.122668,0.122668,1.16928,0.879804,0.0859602,0.0859602,0.983208,-3987.94,125
0.0553295,0.207657,0.126927,0.610086,2.60413,-4.5548,7.87749,-1.68557,3.42172,-1.23276,9.3902,7.34113,1.79749,0.153715,0.153715,0.253102,1.7045,1.57226,1.57226,1.57367,1.85535,0.381975,0.381975,0.780397,2.25059,0.355374,0.355374,5.46608,-13651.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.123202,0.0785837,0.382578,0.415637,-7.69623,-0.190238,-7.0126,-4.68429,3.9376,-7.2875,6.91654,-5.37293,0.739773,1.19271,1.19271,3.91361,1.20449,-1.53334,-1.53334,2.37233,1.7006,-0.611857,-0.611857,0.221529,0.612449,-0.395603,-0.395603,4.8735,-30241.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.262933,0.279157,0.246476,0.211434,-3.72294,-7.67006,8.12058,8.89433,-1.79702,-0.478336,-7.27766,-5.01513,0.693993,0.144149,0.144149,1.15744,1.07689,-1.25746,-1.25746,1.88754,0.426744,0.193463,0.193463,0.492316,0.146174,0.797247,0.797247,5.16398,-20984.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.438982,0.00213982,0.393432,0.165447,-6.02071,-6.65855,0.946497,7.57199,2.12842,-9.0739,-8.09334,4.66477,0.159191,-0.196601,-0.196601,0.249685,1.31668,-0.222348,-0.222348,0.116888,1.07866,0.762906,0.762906,0.790953,0.05266,0.339515,0.339515,2.21219,-173861,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0335848,0.171047,0.381634,0.413735,3.49548,4.78957,-1.1674,-1.64226,6.09667,-3.12999,-9.04338,3.86527,2.62151,-2.40055,-2.40055,5.12644,2.65783,2.63162,2.63162,3.2125,0.970533,-0.0498951,-0.0498951,0.611122,0.146658,0.187336,0.187336,0.496578,-10112.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.443574,0.258854,0.286358,0.0112137,7.04331,3.98226,5.45434,1.03107,8.86204,7.96233,-5.30281,-5.48837,0.577974,0.332579,0.332579,1.20076,1.73732,0.928073,0.928073,1.98873,0.622481,1.34377,1.34377,3.69553,1.5406,1.75931,1.75931,2.08211,-14146.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.419145,0.0248863,0.297497,0.258472,-0.551071,7.20305,-2.21179,2.15867,-5.6603,9.77859,5.09029,-0.596387,0.275134,-0.0185797,-0.0185797,0.76646,1.62648,2.18079,2.18079,3.40289,1.40936,1.12846,1.12846,0.942981,0.149797,-0.202994,-0.202994,1.22192,-27677.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.205378,0.111023,0.462301,0.221298,3.12084,6.55739,2.69653,4.33596,2.8188,-9.43213,4.0722,4.48309,5.83912,-3.79545,-3.79545,2.46719,2.67254,0.595649,0.595649,0.277968,0.176955,-0.183344,-0.183344,0.194041,0.225657,-0.0178886,-0.0178886,1.40606,-26147.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.39673,0.286403,0.30091,0.0159575,8.10396,-9.38861,-8.33555,7.85808,7.51356,6.68675,-7.05541,-6.00427,0.643222,0.332058,0.332058,0.440755,1.25826,-1.09823,-1.09823,2.65096,3.49164,2.92762,2.92762,2.68105,1.58168,-2.66118,-2.66118,10.859,-21258.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00833008,0.462531,0.119139,0.41,-9.01764,-3.99337,-1.51612,-5.16117,-7.77638,-3.76242,-6.60387,-3.8091,0.596612,-1.38274,-1.38274,5.39368,1.1122,-1.10728,-1.10728,2.66091,1.68082,1.49912,1.49912,2.00934,0.381299,-0.634192,-0.634192,3.03052,-25954.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.284022,0.233782,0.276252,0.205944,-0.815748,-0.546356,-6.9093,-0.246789,-6.17117,2.64284,2.34492,1.3457,4.31078,0.0317431,0.0317431,2.09294,8.04564,6.89444,6.89444,5.91318,2.07646,0.85761,0.85761,0.72495,8.9539,-1.14659,-1.14659,0.574044,-5379.99,0.383442,0.0055542,0.214423,0.396581,0.927174,-1.91223,-2.97202,3.17416,-1.87118,2.01485,2.00667,1.9307,4.06633,0.0333764,0.0333764,1.08308,0.0979947,0.111419,0.111419,0.126723,1.19729,-0.165269,-0.165269,0.900654,0.842844,0.0592137,0.0592137,1.06742,-4045.15,75
0.166585,0.35912,0.309342,0.164953,1.51004,8.26021,-0.42618,-4.20196,-0.589902,-6.06463,3.93709,-1.83813,0.28284,0.217332,0.217332,0.761851,1.08756,0.683461,0.683461,1.47738,0.0864031,-0.00965794,-0.00965794,0.297397,1.19474,-1.30368,-1.30368,4.28448,-9748.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.154883,0.350132,0.183344,0.311641,3.16914,-0.899154,8.90609,8.01705,9.95353,8.85078,1.63598,-1.89048,4.41171,-0.696527,-0.696527,1.23905,0.620188,-1.22454,-1.22454,3.35444,1.67208,-0.429554,-0.429554,0.153377,1.44991,1.83282,1.83282,2.33159,-7974.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.155111,0.0245283,0.532954,0.287407,2.27746,-9.99915,-2.41395,-5.54493,8.38106,3.11369,-9.67608,0.698567,0.808104,0.387814,0.387814,0.87415,0.199732,-0.0748373,-0.0748373,0.083453,0.173431,0.0453158,0.0453158,0.50477,1.23785,0.865739,0.865739,0.655032,-92698.2,0.29284,0.10022,0.390008,0.216931,1.96754,-1.89402,-2.03152,-1.79711,1.98295,1.97645,-1.90083,2.05607,0.96246,0.122668,0.122668,1.16928,1.28447,0.207976,0.207976,1.04945,0.879803,0.0859599,0.0859599,0.983207,1.19291,-0.222703,-0.222703,0.891827,-3987.94,90
0.236105,0.311153,0.445304,0.00743852,5.26918,-4.32777,8.26639,8.47129,-4.61595,2.98674,7.4316,1.56007,1.77263,-1.60063,-1.60063,1.51984,1.13079,1.33103,1.33103,1.60812,1.26835,1.17141,1.17141,1.0839,2.58515,-1.71976,-1.71976,1.80778,-25881.6,0.213943,0.383818,0.00288556,0.399354,-1.9005,2.03384,0.926234,-1.91035,-4.05643,3.26665,1.9942,1.93007,1.08685,-0.155736,-0.155736,0.89752,4.06697,0.0312142,0.0312142,1.08603,0.779847,0.524452,0.524452,0.352706,0.860589,0.0609864,0.0609864,1.06485,-4047.97,133
